	EN	UK	RU	ES	IT	DE	KO	NL	FR	PT	ZH_TW	ZH	PL	CS
la_select_git_exe	Select Git Executable	Виберіть виконуваний файл Git	Выберите исполняемый файл Git	Seleccionar ejecutable de Git	Seleziona eseguibile Git	Git-Programm auswählen	Git 실행 파일 선택	Selecteer Git-programma	Sélectionner l'exécutable Git	Selecionar executável Git	選擇 Git 執行檔	选择 Git 可执行文件	Wybierz plik wykonywalny Git	Vyberte spustitelný soubor Git
la_select_ignore_file	Select Global Ignore File	Виберіть файл глобального ігнорування	Выберите файл глобального игнорирования	Seleccionar archivo de ignorar global	Seleziona file ignora globale	Globale Ignore-Datei auswählen	전역 무시 파일 선택	Selecteer globaal negeerbestand	Sélectionner le fichier d'ignorer global	Selecionar arquivo de ignorar global	選擇全域忽略檔案	选择全局忽略文件	Wybierz plik globalnego ignorowania	Vyberte soubor globálního ignorování
la_select_ssh_key	Select SSH Key	Виберіть ключ SSH	Выберите ключ SSH	Seleccionar clave SSH	Seleziona chiave SSH	SSH-Schlüssel auswählen	SSH 키 선택	Selecteer SSH-sleutel	Sélectionner la clé SSH	Selecionar chave SSH	選擇 SSH 金鑰	选择 SSH 密钥	Wybierz klucz SSH	Vyberte SSH klíč
la_invalid_repo	Invalid Repository	Недійсний репозиторій	Недействительный репозиторий	Repositorio inválido	Repository non valido	Ungültiges Repository	잘못된 저장소	Ongeldige repository	Dépôt invalide	Repositório inválido	無效的儲存庫	无效的仓库	Nieprawidłowe repozytorium	Neplatný repozitář
la_not_git_repo	is not a Git repository.	не є Git репозиторієм.	не является Git репозиторием.	no es un repositorio Git.	non è un repository Git.	ist kein Git-Repository.	은(는) Git 저장소가 아닙니다.	is geen Git-repository.	n'est pas un dépôt Git.	não é um repositório Git.	不是 Git 儲存庫。	不是 Git 仓库。	nie jest repozytorium Git.	není Git repozitář.
la_status_error	Status Error	Помилка статусу	Ошибка статуса	Error de estado	Errore stato	Statusfehler	상태 오류	Statusfout	Erreur de statut	Erro de status	狀態錯誤	状态错误	Błąd statusu	Chyba stavu
la_failed_get_status	Failed to get repository status.	Не вдалося отримати статус репозиторію.	Не удалось получить статус репозитория.	Error al obtener el estado del repositorio.	Impossibile ottenere lo stato del repository.	Repository-Status konnte nicht abgerufen werden.	저장소 상태를 가져오지 못했습니다.	Kon repositorystatus niet ophalen.	Échec de l'obtention du statut du dépôt.	Falha ao obter status do repositório.	無法取得儲存庫狀態。	无法获取仓库状态。	Nie udało się pobrać statusu repozytorium.	Nepodařilo se získat stav repozitáře.
la_stage_error	Stage Error	Помилка підготовки	Ошибка подготовки	Error al preparar	Errore stage	Stage-Fehler	스테이지 오류	Stage-fout	Erreur d'indexation	Erro ao preparar	暫存錯誤	暂存错误	Błąd etapowania	Chyba přípravy
la_failed_stage	Failed to stage files.	Не вдалося підготувати файли.	Не удалось подготовить файлы.	Error al preparar archivos.	Impossibile mettere in stage i file.	Dateien konnten nicht gestaged werden.	파일을 스테이지하지 못했습니다.	Kon bestanden niet stagen.	Échec de l'indexation des fichiers.	Falha ao preparar arquivos.	無法暫存檔案。	无法暂存文件。	Nie udało się przygotować plików.	Nepodařilo se připravit soubory.
la_unstage_error	Unstage Error	Помилка скасування підготовки	Ошибка отмены подготовки	Error al deshacer preparación	Errore unstage	Unstage-Fehler	언스테이지 오류	Unstage-fout	Erreur de désindexation	Erro ao desfazer preparação	取消暫存錯誤	取消暂存错误	Błąd cofnięcia etapowania	Chyba zrušení přípravy
la_failed_unstage	Failed to unstage files.	Не вдалося скасувати підготовку файлів.	Не удалось отменить подготовку файлов.	Error al deshacer la preparación de archivos.	Impossibile togliere dallo stage i file.	Dateien konnten nicht ungestaged werden.	파일 언스테이지에 실패했습니다.	Kon bestanden niet unstagen.	Échec de la désindexation des fichiers.	Falha ao desfazer preparação dos arquivos.	無法取消暫存檔案。	无法取消暂存文件。	Nie udało się cofnąć przygotowania plików.	Nepodařilo se zrušit přípravu souborů.
la_discard_error	Discard Error	Помилка скасування	Ошибка отмены	Error al descartar	Errore annullamento	Verwerfen-Fehler	취소 오류	Negeren-fout	Erreur d'annulation	Erro ao descartar	捨棄錯誤	放弃错误	Błąd odrzucenia	Chyba zahození
la_failed_discard	Failed to discard changes.	Не вдалося скасувати зміни.	Не удалось отменить изменения.	Error al descartar cambios.	Impossibile annullare le modifiche.	Änderungen konnten nicht verworfen werden.	변경 사항을 취소하지 못했습니다.	Kon wijzigingen niet negeren.	Échec de l'annulation des modifications.	Falha ao descartar alterações.	無法捨棄變更。	无法放弃更改。	Nie udało się odrzucić zmian.	Nepodařilo se zahodit změny.
la_commit_error	Commit Error	Помилка коміту	Ошибка коммита	Error de commit	Errore commit	Commit-Fehler	커밋 오류	Commit-fout	Erreur de commit	Erro de commit	提交錯誤	提交错误	Błąd commita	Chyba commitu
la_failed_commit	Failed to commit changes.	Не вдалося закомітити зміни.	Не удалось закоммитить изменения.	Error al hacer commit de los cambios.	Impossibile fare commit delle modifiche.	Änderungen konnten nicht committed werden.	변경 사항을 커밋하지 못했습니다.	Kon wijzigingen niet committen.	Échec du commit des modifications.	Falha ao fazer commit das alterações.	無法提交變更。	无法提交更改。	Nie udało się zatwierdzić zmian.	Nepodařilo se odeslat změny.
la_checkout_error	Checkout Error	Помилка переключення	Ошибка переключения	Error de checkout	Errore checkout	Checkout-Fehler	체크아웃 오류	Checkout-fout	Erreur de checkout	Erro de checkout	簽出錯誤	检出错误	Błąd checkout	Chyba checkout
la_failed_checkout	Failed to checkout branch.	Не вдалося переключитися на гілку.	Не удалось переключиться на ветку.	Error al hacer checkout de la rama.	Impossibile fare checkout del ramo.	Branch konnte nicht ausgecheckt werden.	브랜치를 체크아웃하지 못했습니다.	Kon branch niet uitchecken.	Échec du checkout de la branche.	Falha ao fazer checkout do branch.	無法簽出分支。	无法检出分支。	Nie udało się przełączyć na gałąź.	Nepodařilo se přepnout větev.
la_branch_error	Branch Error	Помилка гілки	Ошибка ветки	Error de rama	Errore ramo	Branch-Fehler	브랜치 오류	Branch-fout	Erreur de branche	Erro de branch	分支錯誤	分支错误	Błąd gałęzi	Chyba větve
la_failed_create_branch	Failed to create branch.	Не вдалося створити гілку.	Не удалось создать ветку.	Error al crear la rama.	Impossibile creare il ramo.	Branch konnte nicht erstellt werden.	브랜치를 만들지 못했습니다.	Kon branch niet maken.	Échec de la création de la branche.	Falha ao criar branch.	無法建立分支。	无法创建分支。	Nie udało się utworzyć gałęzi.	Nepodařilo se vytvořit větev.
la_fetch_error	Fetch Error	Помилка завантаження	Ошибка загрузки	Error de fetch	Errore fetch	Fetch-Fehler	가져오기 오류	Fetch-fout	Erreur de récupération	Erro de fetch	擷取錯誤	获取错误	Błąd pobierania	Chyba načítání
la_failed_fetch	Failed to fetch from remote.	Не вдалося завантажити з віддаленого репо.	Не удалось загрузить с удалённого репо.	Error al obtener desde el remoto.	Impossibile recuperare dal remoto.	Fetch vom Remote fehlgeschlagen.	원격에서 가져오지 못했습니다.	Kon niet fetchen van remote.	Échec de la récupération depuis le distant.	Falha ao buscar do remoto.	無法從遠端擷取。	无法从远程获取。	Nie udało się pobrać ze zdalnego.	Nepodařilo se načíst ze vzdáleného.
la_pull_error	Pull Error	Помилка отримання	Ошибка получения	Error de pull	Errore pull	Pull-Fehler	풀 오류	Pull-fout	Erreur de pull	Erro de pull	拉取錯誤	拉取错误	Błąd pobierania	Chyba stahování
la_failed_pull	Failed to pull from remote.	Не вдалося отримати з віддаленого репо.	Не удалось получить с удалённого репо.	Error al hacer pull desde el remoto.	Impossibile fare pull dal remoto.	Pull vom Remote fehlgeschlagen.	원격에서 풀하지 못했습니다.	Kon niet pullen van remote.	Échec du pull depuis le distant.	Falha ao puxar do remoto.	無法從遠端拉取。	无法从远程拉取。	Nie udało się pobrać ze zdalnego.	Nepodařilo se stáhnout ze vzdáleného.
la_push_error	Push Error	Помилка відправлення	Ошибка отправки	Error de push	Errore push	Push-Fehler	푸시 오류	Push-fout	Erreur de push	Erro de push	推送錯誤	推送错误	Błąd wypychania	Chyba odesílání
la_failed_push	Failed to push to remote.	Не вдалося відправити на віддалений репо.	Не удалось отправить на удалённый репо.	Error al hacer push al remoto.	Impossibile fare push al remoto.	Push zum Remote fehlgeschlagen.	원격으로 푸시하지 못했습니다.	Kon niet pushen naar remote.	Échec du push vers le distant.	Falha ao enviar para o remoto.	無法推送至遠端。	无法推送到远程。	Nie udało się wypchnąć do zdalnego.	Nepodařilo se odeslat na vzdálený.
la_confirm_discard	Discard changes in {0} file(s)?	Скасувати зміни в {0} файлі(ах)?	Отменить изменения в {0} файле(ах)?	¿Descartar cambios en {0} archivo(s)?	Annullare le modifiche in {0} file?	Änderungen in {0} Datei(en) verwerfen?	{0}개 파일의 변경 사항을 취소하시겠습니까?	Wijzigingen in {0} bestand(en) negeren?	Annuler les modifications dans {0} fichier(s)?	Descartar alterações em {0} arquivo(s)?	捨棄 {0} 個檔案的變更？	放弃 {0} 个文件的更改？	Odrzucić zmiany w {0} pliku(ach)?	Zahodit změny v {0} souboru(ech)?
la_cannot_undo	This cannot be undone!	Цю дію не можна скасувати!	Это действие нельзя отменить!	¡Esto no se puede deshacer!	Questa azione non può essere annullata!	Dies kann nicht rückgängig gemacht werden!	이 작업은 취소할 수 없습니다!	Dit kan niet ongedaan worden gemaakt!	Cette action est irréversible!	Esta ação não pode ser desfeita!	此操作無法復原！	此操作无法撤消！	Tej operacji nie można cofnąć!	Tuto akci nelze vrátit zpět!
la_about_opentree	About OpenTree	Про OpenTree	Об OpenTree	Acerca de OpenTree	Informazioni su OpenTree	Über OpenTree	OpenTree 정보	Over OpenTree	À propos d'OpenTree	Sobre o OpenTree	關於 OpenTree	关于 OpenTree	O OpenTree	O aplikaci OpenTree
la_version	Version	Версія	Версия	Versión	Versione	Version	버전	Versie	Version	Versão	版本	版本	Wersja	Verze
la_lightweight_git	A lightweight cross-platform Git GUI built with Python and Tkinter.	Легкий крос-платформний Git GUI, створений на Python і Tkinter.	Лёгкий кроссплатформенный Git GUI на Python и Tkinter.	Una GUI de Git ligera y multiplataforma construida con Python y Tkinter.	Una GUI Git leggera e multipiattaforma costruita con Python e Tkinter.	Eine leichtgewichtige plattformübergreifende Git-GUI mit Python und Tkinter.	Python과 Tkinter로 만든 가벼운 크로스 플랫폼 Git GUI.	Een lichtgewicht cross-platform Git GUI gebouwd met Python en Tkinter.	Une interface Git légère et multiplateforme construite avec Python et Tkinter.	Uma GUI Git leve e multiplataforma construída com Python e Tkinter.	使用 Python 和 Tkinter 構建的輕量級跨平台 Git GUI。	使用 Python 和 Tkinter 构建的轻量级跨平台 Git GUI。	Lekki wieloplatformowy interfejs Git zbudowany w Pythonie i Tkinter.	Lehké multiplatformní Git GUI postavené s Pythonem a Tkinter.
la_contributors	OpenTree Contributors	Учасники OpenTree	Участники OpenTree	Colaboradores de OpenTree	Contributori di OpenTree	OpenTree-Mitwirkende	OpenTree 기여자	OpenTree-bijdragers	Contributeurs OpenTree	Colaboradores do OpenTree	OpenTree 貢獻者	OpenTree 贡献者	Współtwórcy OpenTree	Přispěvatelé OpenTree
la_git_commands	Git Commands	Команди Git	Команды Git	Comandos Git	Comandi Git	Git-Befehle	Git 명령어	Git-opdrachten	Commandes Git	Comandos Git	Git 命令	Git 命令	Polecenia Git	Git příkazy
la_git_commands_info	Customize git command templates. Use placeholders for dynamic values.	Налаштуйте шаблони команд git. Використовуйте заповнювачі.	Настройте шаблоны команд git. Используйте заполнители.	Personaliza las plantillas de comandos git.	Personalizza i modelli di comandi git.	Git-Befehlsvorlagen anpassen.	git 명령어 템플릿을 사용자 정의합니다.	Pas git-opdrachtsjablonen aan.	Personnalisez les modèles de commandes git.	Personalize os modelos de comandos git.	自訂 git 命令範本。	自定义 git 命令模板。	Dostosuj szablony poleceń git.	Přizpůsobte šablony příkazů git.
la_common_flags	Common Flags	Загальні прапорці	Общие флаги	Banderas comunes	Flag comuni	Allgemeine Flags	공통 플래그	Gemeenschappelijke vlaggen	Drapeaux communs	Flags comuns	通用標誌	通用标志	Wspólne flagi	Společné příznaky
la_flags	Flags	Прапорці	Флаги	Banderas	Flag	Flags	플래그	Vlaggen	Drapeaux	Flags	標誌	标志	Flagi	Příznaky
la_command_templates	Command Templates	Шаблони команд	Шаблоны команд	Plantillas de comandos	Modelli di comandi	Befehlsvorlagen	명령어 템플릿	Opdrachtsjablonen	Modèles de commandes	Modelos de comandos	命令範本	命令模板	Szablony poleceń	Šablony příkazů
la_reset_defaults	Reset to Defaults	Скинути до типових	Сбросить по умолчанию	Restablecer valores	Ripristina predefiniti	Auf Standard zurücksetzen	기본값으로 재설정	Herstellen naar standaard	Réinitialiser par défaut	Restaurar padrões	重設為預設值	重置为默认值	Przywróć domyślne	Obnovit výchozí
la_show_full_output	Show Full Output	Показати повний вивід	Показать полный вывод	Mostrar salida completa	Mostra output completo	Vollständige Ausgabe anzeigen	전체 출력 표시	Toon volledige uitvoer	Afficher la sortie complète	Mostrar saída completa	顯示完整輸出	显示完整输出	Pokaż pełne wyjście	Zobrazit celý výstup
la_completed_with_errors	Completed with errors, see above.	Завершено з помилками, див. вище.	Завершено с ошибками, см. выше.	Completado con errores, ver arriba.	Completato con errori, vedi sopra.	Mit Fehlern abgeschlossen, siehe oben.	오류와 함께 완료됨, 위 참조.	Voltooid met fouten, zie hierboven.	Terminé avec des erreurs, voir ci-dessus.	Concluído com erros, veja acima.	完成但有錯誤，請見上方。	完成但有错误，请见上方。	Zakończono z błędami, patrz wyżej.	Dokončeno s chybami, viz výše.
la_running	Running...	Виконується...	Выполняется...	Ejecutando...	In esecuzione...	Wird ausgeführt...	실행 중...	Bezig...	En cours...	Executando...	執行中...	执行中...	Uruchamianie...	Probíhá...
la_domain_credentials	Domain Credentials	Облікові дані домену	Учетные данные домена	Credenciales de dominio	Credenziali dominio	Domain-Zugangsdaten	도메인 자격 증명	Domein-inloggegevens	Identifiants du domaine	Credenciais do domínio	網域憑證	域凭据	Dane logowania domeny	Přihlašovací údaje domény
la_domain	Domain	Домен	Домен	Dominio	Dominio	Domäne	도메인	Domein	Domaine	Domínio	網域	域名	Domena	Doména
la_username	Username	Ім'я користувача	Имя пользователя	Usuario	Nome utente	Benutzername	사용자명	Gebruikersnaam	Nom d'utilisateur	Usuário	使用者名稱	用户名	Nazwa użytkownika	Uživatelské jméno
la_password	Password	Пароль	Пароль	Contraseña	Password	Passwort	비밀번호	Wachtwoord	Mot de passe	Senha	密碼	密码	Hasło	Heslo
la_auth_type	Auth Type	Тип автентифікації	Тип аутентификации	Tipo de autenticación	Tipo autenticazione	Auth-Typ	인증 유형	Auth-type	Type d'auth.	Tipo de auth.	驗證類型	认证类型	Typ uwierzytelniania	Typ ověření
la_add	Add	Додати	Добавить	Agregar	Aggiungi	Hinzufügen	추가	Toevoegen	Ajouter	Adicionar	新增	添加	Dodaj	Přidat
la_edit	Edit	Редагувати	Редактировать	Editar	Modifica	Bearbeiten	편집	Bewerken	Modifier	Editar	編輯	编辑	Edytuj	Upravit
la_remove	Remove	Видалити	Удалить	Eliminar	Rimuovi	Entfernen	제거	Verwijderen	Supprimer	Remover	移除	删除	Usuń	Odstranit
la_add_credential	Add Credential	Додати обліковий запис	Добавить учетные данные	Agregar credencial	Aggiungi credenziale	Zugangsdaten hinzufügen	자격 증명 추가	Inloggegevens toevoegen	Ajouter identifiant	Adicionar credencial	新增憑證	添加凭据	Dodaj dane uwierzytelniające	Přidat přihlašovací údaje
la_edit_credential	Edit Credential	Редагувати обліковий запис	Редактировать учетные данные	Editar credencial	Modifica credenziale	Zugangsdaten bearbeiten	자격 증명 편집	Inloggegevens bewerken	Modifier identifiant	Editar credencial	編輯憑證	编辑凭据	Edytuj dane uwierzytelniające	Upravit přihlašovací údaje
la_select_ssh_key	Select SSH Key	Виберіть SSH ключ	Выберите SSH ключ	Seleccionar clave SSH	Seleziona chiave SSH	SSH-Schlüssel auswählen	SSH 키 선택	SSH-sleutel selecteren	Sélectionner la clé SSH	Selecionar chave SSH	選擇 SSH 金鑰	选择 SSH 密钥	Wybierz klucz SSH	Vybrat klíč SSH
la_save	Save	Зберегти	Сохранить	Guardar	Salva	Speichern	저장	Opslaan	Enregistrer	Salvar	儲存	保存	Zapisz	Uložit
